iter	Passed	Remaining
606	2862	1853
607	2865	1847
608	2867	1841
609	2869	1834
610	2872	1828
611	2877	1824
612	2879	1818
613	2882	1811
614	2884	1805
615	2886	1799
616	2890	1794
617	2892	1788
618	2895	1782
619	2897	1776
620	2899	1769
621	2901	1763
622	2907	1759
623	2910	1753
624	2913	1747
625	2916	1742
626	2922	1738
627	2926	1733
628	2928	1727
629	2932	1721
630	2937	1718
631	2940	1712
632	2942	1706
633	2945	1700
634	2950	1695
635	2953	1690
636	2955	1684
637	2957	1678
638	2959	1672
639	2962	1666
640	2968	1662
641	2971	1656
642	2973	1650
643	2975	1645
644	2980	1640
645	2983	1634
646	2985	1628
647	2988	1623
648	2989	1617
649	2992	1611
650	3003	1609
651	3005	1604
652	3007	1598
653	3012	1593
654	3015	1588
655	3017	1582
656	3021	1577
657	3026	1573
658	3029	1567
659	3031	1561
660	3034	1556
661	3036	1550
662	3039	1545
663	3046	1541
664	3048	1535
665	3050	1529
666	3052	1523
667	3054	1518
668	3062	1515
669	3064	1509
670	3066	1503
671	3069	1498
672	3073	1493
673	3076	1487
674	3078	1482
675	3080	1476
676	3082	1470
677	3088	1466
678	3091	1461
679	3093	1455
680	3095	1450
681	3098	1444
682	3103	1440
683	3105	1434
684	3108	1429
685	3110	1423
686	3112	1418
687	3114	1412
688	3120	1408
689	3123	1403
690	3125	1397
691	3127	1391
692	3129	1386
693	3135	1382
694	3137	1376
695	3139	1371
696	3141	1365
697	3143	1360
698	3149	1356
699	3152	1351
700	3154	1345
701	3156	1340
702	3158	1334
703	3161	1329
704	3164	1324
705	3166	1318
706	3168	1313
707	3171	1307
708	3173	1302
709	3175	1296
710	3178	1291
711	3180	1286
712	3182	1281
713	3184	1275
714	3186	1270
715	3188	1264
716	3191	1259
717	3195	1255
718	3197	1249
719	3199	1244
720	3201	1239
721	3204	1233
722	3211	1230
723	3213	1225
724	3216	1219
725	3218	1214
726	3220	1209
727	3226	1205
728	3228	1200
729	3230	1194
730	3232	1189
731	3234	1184
732	3240	1180
733	3243	1175
734	3245	1170
735	3247	1164
736	3249	1159
737	3251	1154
738	3256	1150
739	3258	1144
740	3260	1139
741	3262	1134
742	3264	1129
743	3266	1123
744	3272	1120
745	3275	1115
746	3277	1109
747	3279	1104
748	3281	1099
749	3287	1095
750	3289	1090
751	3291	1085
752	3294	1080
753	3295	1075
754	3302	1071
755	3304	1066
756	3306	1061
757	3309	1056
758	3311	1051
759	3316	1047
760	3318	1042
761	3320	1037
762	3322	1032
763	3325	1027
764	3327	1022
765	3333	1018
766	3336	1013
767	3338	1008
768	3340	1003
769	3342	998
770	3346	993
771	3348	989
772	3350	984
773	3353	979
774	3355	974
775	3357	969
776	3363	965
777	3366	960
778	3368	955
779	3370	950
780	3372	945
781	3377	941
782	3379	936
783	3381	931
784	3383	926
785	3385	921
786	3387	916
787	3393	912
788	3395	908
789	3398	903
790	3400	898
791	3402	893
792	3408	889
793	3410	884
794	3412	879
795	3414	875
796	3417	870
797	3420	865
798	3422	860
799	3424	856
800	3427	851
801	3429	846
802	3431	841
803	3435	837
804	3438	832
805	3440	828
806	3442	823
807	3444	818
808	3447	813
809	3449	809
810	3454	805
811	3457	800
812	3459	795
813	3461	791
814	3464	786
815	3468	782
816	3470	777
817	3473	772
818	3475	768
819	3477	763
820	3488	760
821	3490	755
822	3492	751
823	3496	746
824	3500	742
825	3502	737
